latitude,longitude,severity,confidence,timestamp
9.9312,76.2673,0.36,0.9349701404571533,2026-02-22 11:50:02
9.9312,76.2673,0.35,0.916441798210144,2026-02-22 11:50:02
9.9312,76.2673,1.82,0.8955804109573364,2026-02-22 11:50:02
9.9312,76.2673,0.04,0.8055902719497681,2026-02-22 11:50:02
9.9312,76.2673,0.04,0.746741771697998,2026-02-22 11:50:02
